,Label,Predict,MSE,Euclidean Distance
19,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.2938445806503296,1.9701610803604126
20,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821679472923279,1.4305596351623535
21,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.8711909651756287,1.6166552305221558
22,"tensor([[-0.2580,  5.0750, -1.2000]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.34094786643981934,1.0113571882247925
23,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821660399436951,1.4305577278137207
24,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.8711733818054199,1.6166390180587769
25,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.8711652159690857,1.616631269454956
26,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9708,  5.1652, -0.4743]])",0.8931496143341064,1.6369025707244873
27,"tensor([[ 5.1090,  7.6540, -7.6890]])","tensor([[-0.9797,  5.1885, -0.5006]])",31.6077938079834,9.737730026245117
28,"tensor([[ 1.4150,  7.0450, -3.3330]])","tensor([[-0.9797,  5.1885, -0.5007]])",5.734462738037109,4.1476969718933105
29,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.703452467918396,2.2606101036071777
30,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.1227195262908936,2.5235209465026855
31,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7773265242576599,1.5270802974700928
32,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.933107376098633,3.8469889163970947
33,"tensor([[ 1.9880,  5.9960, -1.5460]])","tensor([[-0.9797,  5.1884, -0.5006]])",3.5174858570098877,3.24845552444458
34,"tensor([[-2.3970,  6.8410, -2.1630]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.5009193420410156,2.7391157150268555
35,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.777330219745636,1.5270839929580688
36,"tensor([[ 0.3560,  4.1770, -1.1530]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.0776289701461792,1.7980228662490845
37,"tensor([[ 5.1090,  7.6540, -7.6890]])","tensor([[-0.9797,  5.1885, -0.5006]])",31.607744216918945,9.737722396850586
38,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1884, -0.5006]])",1.293819546699524,1.9701420068740845
39,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7773053050041199,1.5270594358444214
40,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.636630654335022,2.2158279418945312
41,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6588009595870972,1.4058454036712646
42,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.1227192878723145,2.5235209465026855
43,"tensor([[ 0.7950,  5.2420, -2.3720]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.2181320190429688,2.5796115398406982
44,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9796,  5.1881, -0.5002]])",0.8715447783470154,1.616983413696289
45,"tensor([[-1.6480,  4.5620, -0.2880]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.29479581117630005,0.9404175877571106
46,"tensor([[ 1.9880,  5.9960, -1.5460]])","tensor([[-0.9797,  5.1885, -0.5006]])",3.51733660697937,3.2483866214752197
47,"tensor([[-2.2290,  4.9200,  0.1860]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7014477849006653,1.4506349563598633
48,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7716930508613586,1.521539330482483
49,"tensor([[ 1.4150,  7.0450, -3.3330]])","tensor([[-0.9726,  5.1675, -0.4762]])",5.795776844024658,4.169812202453613
50,"tensor([[ 2.9430,  6.5080, -3.5080]])","tensor([[-0.9797,  5.1885, -0.5006]])",8.72425651550293,5.115933418273926
51,"tensor([[ 2.9430,  6.5080, -3.5080]])","tensor([[-0.9797,  5.1885, -0.5006]])",8.724255561828613,5.115932941436768
52,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.771693229675293,1.521539568901062
53,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.1227197647094727,2.5235211849212646
54,"tensor([[ 4.0720,  4.7810, -2.1810]])","tensor([[-0.9797,  5.1885, -0.5006]])",9.503157615661621,5.3394269943237305
55,"tensor([[ 1.6840,  5.6270, -2.2380]])","tensor([[-0.9797,  5.1883, -0.5006]])",3.4354822635650635,3.2103660106658936
56,"tensor([[ 1.4150,  7.0450, -3.3330]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.734495639801025,4.147709369659424
57,"tensor([[-0.3930,  0.9490,  0.2780]])","tensor([[-0.9797,  5.1885, -0.5007]])",6.308065891265869,4.350194931030273
58,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7773311138153076,1.5270848274230957
59,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.167892932891846,3.937471628189087
60,"tensor([[ 5.1090,  7.6540, -7.6890]])","tensor([[-0.9796,  5.1881, -0.5001]])",31.610336303710938,9.738121032714844
61,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.6366337537765503,2.215830087661743
62,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.933104991912842,3.8469882011413574
63,"tensor([[ 0.3560,  4.1770, -1.1530]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.0776253938674927,1.7980198860168457
64,"tensor([[ 4.0720,  4.7810, -2.1810]])","tensor([[-0.9797,  5.1885, -0.5006]])",9.503135681152344,5.339420795440674
65,"tensor([[ 0.7950,  5.2420, -2.3720]])","tensor([[-0.9797,  5.1885, -0.5007]])",2.2181413173675537,2.5796167850494385
66,"tensor([[-0.3930,  0.9490,  0.2780]])","tensor([[-0.9797,  5.1885, -0.5006]])",6.308042049407959,4.350186347961426
67,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.658801257610321,1.4058457612991333
68,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7716899514198303,1.5215362310409546
69,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.167884349822998,3.9374682903289795
70,"tensor([[ 5.1090,  7.6540, -7.6890]])","tensor([[-0.9797,  5.1885, -0.5006]])",31.607751846313477,9.737723350524902
71,"tensor([[-0.6150,  4.4690, -1.2310]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.39471831917762756,1.08818781375885
72,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6588748097419739,1.4059242010116577
73,"tensor([[ 0.7950,  5.2420, -2.3720]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.2181155681610107,2.579602003097534
74,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7716928124427795,1.5215390920639038
75,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.293859839439392,1.9701727628707886
76,"tensor([[ 1.9880,  5.9960, -1.5460]])","tensor([[-0.9797,  5.1885, -0.5006]])",3.5173332691192627,3.248384952545166
77,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9798,  5.1885, -0.5005]])",0.6589405536651611,1.4059942960739136
78,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.167892932891846,3.937471628189087
79,"tensor([[ 0.7950,  5.2420, -2.3720]])","tensor([[-0.9798,  5.1884, -0.5006]])",2.2182953357696533,2.5797066688537598
80,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1885, -0.5007]])",1.2938687801361084,1.970179557800293
81,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.703515648841858,2.2606520652770996
82,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.7035164833068848,2.260652542114258
83,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.933172225952148,3.8470144271850586
84,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[-0.9794,  5.1877, -0.4997]])",23.66761589050293,8.426318168640137
85,"tensor([[-2.3970,  6.8410, -2.1630]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.5009260177612305,2.739119529724121
86,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[-0.9796,  5.1883, -0.5004]])",23.66426658630371,8.425722122192383
87,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[-0.9796,  5.1883, -0.5004]])",1.6370707750320435,2.216125965118408
88,"tensor([[-1.6480,  4.5620, -0.2880]])","tensor([[-0.9799,  5.1880, -0.4998]])",0.2943606376647949,0.9397232532501221
89,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[-0.9798,  5.1885, -0.5006]])",0.7717626094818115,1.5216078758239746
90,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821666359901428,1.4305583238601685
91,"tensor([[ 1.6840,  5.6270, -2.2380]])","tensor([[-0.9797,  5.1885, -0.5006]])",3.4353370666503906,3.2102980613708496
92,"tensor([[ 0.7950,  5.2420, -2.3720]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.218134641647339,2.579612970352173
93,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7716938853263855,1.5215401649475098
94,"tensor([[-0.6150,  4.4690, -1.2310]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.39472126960754395,1.0881918668746948
95,"tensor([[-0.3930,  0.9490,  0.2780]])","tensor([[-0.9797,  5.1885, -0.5006]])",6.30803108215332,4.350182056427002
96,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.7035244703292847,2.260657787322998
97,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.167940616607666,3.9374899864196777
98,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9794,  5.1877, -0.4997]])",1.7016611099243164,2.2594211101531982
99,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6588038802146912,1.405848503112793
100,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.933105945587158,3.8469886779785156
101,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.6367053985595703,2.215878486633301
102,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.6366243362426758,2.2158236503601074
103,"tensor([[ 1.6840,  5.6270, -2.2380]])","tensor([[-0.9797,  5.1885, -0.5006]])",3.4353322982788086,3.2102959156036377
104,"tensor([[ 4.0720,  4.7810, -2.1810]])","tensor([[-0.9797,  5.1885, -0.5006]])",9.503134727478027,5.339420318603516
105,"tensor([[-1.0400,  5.7070, -1.8060]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6588037014007568,1.4058482646942139
106,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.2938345670700073,1.970153570175171
107,"tensor([[ 1.9880,  5.9960, -1.5460]])","tensor([[-0.9797,  5.1885, -0.5006]])",3.5173323154449463,3.248384714126587
108,"tensor([[ 2.9430,  6.5080, -3.5080]])","tensor([[-0.9797,  5.1885, -0.5006]])",8.724392890930176,5.115973472595215
109,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9797,  5.1884, -0.5005]])",1.703169822692871,2.260422468185425
110,"tensor([[ 1.4150,  7.0450, -3.3330]])","tensor([[-0.9798,  5.1883, -0.5003]])",5.735610485076904,4.1481122970581055
111,"tensor([[ 4.0720,  4.7810, -2.1810]])","tensor([[-0.9797,  5.1885, -0.5006]])",9.50313949584961,5.33942174911499
112,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7773283123970032,1.527082085609436
113,"tensor([[ 0.9070,  6.5480, -3.6140]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.033721923828125,3.886021852493286
114,"tensor([[-2.2290,  4.9200,  0.1860]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7014448046684265,1.450631856918335
115,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7773339748382568,1.527087688446045
116,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9797,  5.1874, -0.4990]])",0.8719424605369568,1.6173523664474487
117,"tensor([[ 1.6840,  5.6270, -2.2380]])","tensor([[-0.9797,  5.1885, -0.5006]])",3.4353256225585938,3.2102928161621094
118,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821669936180115,1.4305585622787476
119,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[-0.9797,  5.1885, -0.5006]])",23.66312599182129,8.425519943237305
120,"tensor([[ 2.9430,  6.5080, -3.5080]])","tensor([[-0.9797,  5.1885, -0.5006]])",8.724282264709473,5.115941047668457
121,"tensor([[ 0.9070,  6.5480, -3.6140]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.033586025238037,3.885969400405884
122,"tensor([[-2.3970,  6.8410, -2.1630]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.5009524822235107,2.7391340732574463
123,"tensor([[ 1.4150,  7.0450, -3.3330]])","tensor([[-0.9797,  5.1885, -0.5007]])",5.7344489097595215,4.14769172668457
124,"tensor([[ 1.6840,  5.6270, -2.2380]])","tensor([[-0.9791,  5.1870, -0.4989]])",3.4368622303009033,3.211010694503784
125,"tensor([[-0.6150,  4.4690, -1.2310]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.39471808075904846,1.088187575340271
126,"tensor([[ 1.4150,  7.0450, -3.3330]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.734424591064453,4.147683620452881
127,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.1227214336395264,2.523521900177002
128,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.1227548122406006,2.5235419273376465
129,"tensor([[ 5.1090,  7.6540, -7.6890]])","tensor([[-0.9797,  5.1885, -0.5006]])",31.607751846313477,9.737723350524902
130,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.2938486337661743,1.9701642990112305
131,"tensor([[-2.3970,  6.8410, -2.1630]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.500946283340454,2.7391304969787598
132,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[-0.9804,  5.1882, -0.5000]])",5.170301914215088,3.9383890628814697
133,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821667551994324,1.430558443069458
134,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[-0.9797,  5.1885, -0.5006]])",5.167877674102783,3.9374659061431885
135,"tensor([[-2.2290,  4.9200,  0.1860]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7014454007148743,1.4506324529647827
136,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.6366294622421265,2.215826988220215
137,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.8711645007133484,1.6166306734085083
138,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[-0.9800,  5.1885, -0.5004]])",2.1232593059539795,2.5238418579101562
139,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[-0.9798,  5.1883, -0.5003]])",23.665361404418945,8.425917625427246
140,"tensor([[ 0.7950,  5.2420, -2.3720]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.218158483505249,2.57962703704834
141,"tensor([[ 2.1250,  6.4150, -2.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.726397514343262,3.7655277252197266
142,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.7034902572631836,2.2606351375579834
143,"tensor([[ 5.1090,  7.6540, -7.6890]])","tensor([[-0.9796,  5.1882, -0.5003]])",31.609594345092773,9.738006591796875
144,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.933108806610107,3.846989631652832
145,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.1227192878723145,2.5235209465026855
146,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821659207344055,1.4305574893951416
147,"tensor([[-0.3930,  0.9490,  0.2780]])","tensor([[-0.9797,  5.1885, -0.5006]])",6.307981014251709,4.350165367126465
148,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821660995483398,1.4305576086044312
149,"tensor([[ 0.9070,  6.5480, -3.6140]])","tensor([[-0.9797,  5.1885, -0.5007]])",5.033586502075195,3.885969638824463
150,"tensor([[ 4.0720,  4.7810, -2.1810]])","tensor([[-0.9798,  5.1885, -0.5006]])",9.503310203552246,5.339469909667969
151,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.93310546875,3.8469884395599365
152,"tensor([[ 1.6840,  5.6270, -2.2380]])","tensor([[-0.9797,  5.1885, -0.5006]])",3.435325860977173,3.2102928161621094
153,"tensor([[ 0.3560,  4.1770, -1.1530]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.077593207359314,1.7979929447174072
154,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.6821660995483398,1.4305576086044312
155,"tensor([[-1.6480,  4.5620, -0.2880]])","tensor([[-0.9796,  5.1884, -0.5004]])",0.2947174608707428,0.9402926564216614
156,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7716893553733826,1.5215356349945068
157,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[-0.9792,  5.1853, -0.4964]])",0.6841215491294861,1.43260657787323
158,"tensor([[-2.2290,  4.9200,  0.1860]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7014444470405579,1.4506314992904663
159,"tensor([[ 1.3870,  6.8650, -3.0280]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.933102607727051,3.846987247467041
160,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.6366252899169922,2.2158243656158447
161,"tensor([[ 2.9430,  6.5080, -3.5080]])","tensor([[-0.9797,  5.1885, -0.5006]])",8.724257469177246,5.115933418273926
162,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[-0.9797,  5.1885, -0.5007]])",23.663192749023438,8.425531387329102
163,"tensor([[-1.5530,  5.2930, -0.6020]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.11661649495363235,0.5914797782897949
164,"tensor([[ 4.0720,  4.7810, -2.1810]])","tensor([[-0.9797,  5.1885, -0.5006]])",9.503135681152344,5.339420795440674
165,"tensor([[ 5.1090,  7.6540, -7.6890]])","tensor([[-0.9793,  5.1875, -0.4995]])",31.61353874206543,9.738615036010742
166,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[-0.9797,  5.1885, -0.5007]])",23.66315269470215,8.425524711608887
167,"tensor([[ 2.1250,  6.4150, -2.2430]])","tensor([[-0.9797,  5.1885, -0.5006]])",4.726396083831787,3.76552677154541
168,"tensor([[ 0.7750,  4.3370, -0.7790]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.293851375579834,1.9701663255691528
169,"tensor([[-2.3970,  6.8410, -2.1630]])","tensor([[-0.9797,  5.1885, -0.5006]])",2.5009419918060303,2.7391281127929688
170,"tensor([[-1.5530,  5.2930, -0.6020]])","tensor([[-0.9796,  5.1882, -0.5003]])",0.11670541763305664,0.5917052626609802
171,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[-0.9797,  5.1885, -0.5006]])",0.7773292660713196,1.527083158493042
172,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[-0.9797,  5.1885, -0.5006]])",1.7035249471664429,2.260658025741577
173,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[-0.9797,  5.1885, -0.5006]])",23.663118362426758,8.425518035888672
174,"tensor([[ 0.9070,  6.5480, -3.6140]])","tensor([[ 0.4917,  6.6831, -2.4474]])",0.5172547698020935,1.2456976175308228
175,"tensor([[-0.6150,  4.4690, -1.2310]])","tensor([[ 0.4917,  6.6830, -2.4474]])",2.535397529602051,2.75793194770813
176,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[ 0.4917,  6.6830, -2.4474]])",2.4560601711273193,2.7144393920898438
177,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[ 0.4917,  6.6831, -2.4474]])",1.8281317949295044,2.34187912940979
178,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[ 0.4917,  6.6831, -2.4474]])",7.150620937347412,4.631615161895752
179,"tensor([[ 2.5450,  5.5820, -2.2110]])","tensor([[ 0.4917,  6.6831, -2.4474]])",1.8281168937683105,2.341869592666626
180,"tensor([[-1.6480,  4.5620, -0.2880]])","tensor([[ 0.4917,  6.6831, -2.4474]])",4.579979419708252,3.7067418098449707
181,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[ 0.4917,  6.6830, -2.4474]])",4.512594699859619,3.6793718338012695
182,"tensor([[-1.8830,  4.1690, -1.1910]])","tensor([[ 0.4917,  6.6831, -2.4474]])",4.512672424316406,3.67940354347229
183,"tensor([[ 2.9430,  6.5080, -3.5080]])","tensor([[ 0.4917,  6.6831, -2.4474]])",2.3882057666778564,2.67668080329895
184,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[ 0.4917,  6.6831, -2.4474]])",0.22278665006160736,0.8175312280654907
185,"tensor([[-0.2580,  5.0750, -1.2000]])","tensor([[ 0.4917,  6.6831, -2.4474]])",1.5679289102554321,2.168821096420288
186,"tensor([[-2.2290,  4.9200,  0.1860]])","tensor([[ 0.4917,  6.6830, -2.4474]])",5.814970016479492,4.17671012878418
187,"tensor([[ 3.9350,  7.8010, -6.8260]])","tensor([[ 0.4917,  6.6831, -2.4474]])",10.759590148925781,5.681440830230713
188,"tensor([[-1.5530,  5.2930, -0.6020]])","tensor([[ 0.4917,  6.6830, -2.4474]])",3.172753095626831,3.085167169570923
189,"tensor([[ 0.5180,  4.9760, -0.3370]])","tensor([[ 0.4917,  6.6830, -2.4474]])",2.4560725688934326,2.7144463062286377
190,"tensor([[-0.2970,  3.4530,  0.7770]])","tensor([[ 0.4917,  6.6831, -2.4474]])",7.150625228881836,4.631616592407227
191,"tensor([[-1.8190,  6.5460, -0.2430]])","tensor([[ 0.4916,  6.6831, -2.4474]])",3.4056804180145264,3.196410655975342
192,"tensor([[ 1.4150,  7.0450, -3.3330]])","tensor([[ 0.4917,  6.6830, -2.4474]])",0.5893106460571289,1.3296363353729248
193,"tensor([[-0.0250,  6.4440, -2.0570]])","tensor([[ 0.4917,  6.6831, -2.4474]])",0.15882574021816254,0.6902727484703064
194,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[ 0.4917,  6.6831, -2.4474]])",4.07271146774292,3.4954440593719482
195,"tensor([[ 0.0170,  6.0500, -2.6530]])","tensor([[ 0.4917,  6.6831, -2.4474]])",0.22278617322444916,0.8175303339958191
196,"tensor([[-2.3470,  5.3900, -0.8700]])","tensor([[ 0.4917,  6.6830, -2.4474]])",4.072649002075195,3.495417356491089
